SAM9X60D,U,Package_BGA_Custom:BGA-233_14x14mm_Layout17x17_P0.8mm_Ball0.4mm,SAM9X60D,https://ww1.microchip.com/downloads/aemDocuments/documents/MPU32/ProductDocuments/DataSheets/SAM9X60-SIP-DataSheet-DS60001580C.pdf,ARM926EJ-S SiP with 64MB / 128MB DDR2 SDRAM
Pin,Name,Type,Side,Hidden,
L2,PA0,io,,,
L3,PA1,io,,,
K2,PA2,io,,,
K3,PA3,io,,,
L1,PA4,io,,,
N3,PA5,io,,,
N1,PA6,io,,,
P2,PA7,io,,,
P3,PA8,io,,,
N2,PA9,io,,,
M4,PA10,io,,,
G3,PA11,io,,,
G4,PA12,io,,,
G1,PA13,io,,,
G2,PA14,io,,,
K1,PA15,io,,,
J2,PA16,io,,,
H4,PA17,io,,,
H3,PA18,io,,,
J1,PA19,io,,,
J4,PA20,io,,,
B1,PA21,io,,,
A10,PA22,io,,,
C11,PA23,io,,,
B10,PA24,io,,,
A9,PA25,io,,,
D10,PA26,io,,,
D12,PA27,io,,,
A11,PA28,io,,,
C10,PA29,io,,,
H1,PA30,io,,,
H2,PA31,io,,,
B3,PB0,io,,,
D1,PB1,io,,,
A3,PB2,io,,,
D2,PB3,io,,,
E3,PB4,io,,,
E1,PB5,io,,,
D3,PB6,io,,,
F4,PB7,io,,,
D5,PB8,io,,,
B4,PB9,io,,,
B5,PB10,io,,,
C5,PB11,io,,,
A2,PB12,io,,,
A5,PB13,io,,,
E4,PB14,io,,,
C4,PB15,io,,,
E2,PB16,io,,,
A4,PB17,io,,,
D7,PB18,io,,,
A7,PB19,io,,,
D9,PB20,io,,,
A8,PB21,io,,,
B8,PB22,io,,,
C7,PB23,io,,,
B9,PB24,io,,,
B7,PB25,io,,,
U8,PC0,io,,,
U3,PC1,io,,,
T4,PC2,io,,,
T1,PC3,io,,,
R5,PC4,io,,,
U4,PC5,io,,,
T7,PC6,io,,,
R2,PC7,io,,,
U7,PC8,io,,,
R1,PC9,io,,,
T8,PC10,io,,,
T3,PC11,io,,,
T5,PC12,io,,,
R4,PC13,io,,,
U2,PC14,io,,,
U5,PC15,io,,,
R10,PC16,io,,,
R8,PC17,io,,,
R7,PC18,io,,,
P6,PC19,io,,,
T14,PC20,io,,,
P8,PC21,io,,,
R14,PC22,io,,,
T9,PC23,io,,,
U14,PC24,io,,,
P5,PC25,io,,,
R13,PC26,io,,,
U9,PC27,io,,,
P13,PC28,io,,,
P9,PC29,io,,,
T13,PC30,io,,,
U13,PC31,io,,,
L17,PD0,io,,,
H15,PD1,io,,,
K17,PD2,io,,,
J16,PD3,io,,,
J17,PD4,io,,,
K14,PD5,io,,,
C17,PD6,io,,,
K16,PD7,io,,,
D16,PD8,io,,,
J14,PD9,io,,,
E17,PD10,io,,,
